visibility,dt,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,rain.1h,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,weather_id,weather_main,weather_description,weather_icon,wind.gust
10000,1690394644,-0.1257,51.5085,16.48,16.32,15.12,18.24,1010,82,5.14,230,1.15,40,2,2075535,GB,1690344883,1690401542,501,Rain,moderate rain,10d,
10000,1690394440,-74.006,40.7143,31.0,32.62,28.3,33.04,1019,50,5.14,220,,20,2,2008101,US,1690364802,1690417086,801,Clouds,few clouds,02d,
10000,1690394960,-64.1811,-31.4135,18.34,16.96,17.47,20.23,1022,28,3.09,140,,0,1,8226,AR,1690369725,1690407448,800,Clear,clear sky,01d,
10000,1690394174,121.5319,25.0478,27.72,31.83,26.93,30.57,1000,83,7.2,80,2.19,75,2,266033,TW,1690406311,1690454520,520,Rain,light intensity shower rain,09n,
10000,1690394402,-58.3772,-34.6132,14.64,13.88,13.89,15.55,1016,66,9.39,100,,24,2,2084309,AR,1690368718,1690405668,801,Clouds,few clouds,02d,0.0
10000,1690394246,-121.9358,37.7021,22.8,22.65,13.04,29.58,1015,58,2.24,219,,0,2,2016191,US,1690376772,1690428123,800,Clear,clear sky,01d,4.47
10000,1690394795,-74.0817,4.6097,18.73,18.3,18.73,18.73,1027,63,3.09,230,,40,1,8582,CO,1690368758,1690413166,802,Clouds,scattered clouds,03d,
10000,1690394447,139.6917,35.6895,27.82,31.37,24.86,29.21,1012,78,5.14,180,,75,2,2001249,JP,1690400677,1690451436,803,Clouds,broken clouds,04n,
